id,name,age,gender,account_type,balance,kyc_status,credit_score,transaction_count,device_used,target
1404,404,42,Female,Savings,3580.23,Rejected,524,25,Web,Genuine
1277,277,33,Female,Current,16357.02,Verified,415,26,ATM,Fraudulent
1455,455,43,Female,Salary,4496.58,Rejected,494,185,ATM,Genuine
1371,371,35,Male,Current,8823.13,Verified,459,284,Web,Fraudulent
1533,533,39,Female,Savings,67458.26,Verified,402,155,ATM,Genuine
1461,461,21,Male,Savings,99242.44,Pending,719,301,Web,Genuine
1423,423,21,Male,Current,21349.5,Verified,719,366,ATM,Fraudulent
1171,171,51,Male,Current,35758.87,Rejected,451,130,Mobile,Genuine
1188,188,61,Female,Current,77174.42,Pending,814,280,Web,Genuine
1023,23,35,Female,Savings,54384.16,Rejected,784,134,Web,Fraudulent
1128,128,56,Female,Current,77798.36,Verified,660,122,ATM,Genuine
1240,240,27,Male,Current,93205.5,Pending,466,211,ATM,Fraudulent
1257,257,29,Female,Savings,93458.34,Verified,706,413,Web,Genuine
1081,81,38,Male,Current,21999.87,Pending,648,153,ATM,Fraudulent
1215,215,62,Female,Savings,13141.1,Verified,762,98,ATM,Fraudulent
1170,170,37,Female,Savings,33973.79,Verified,378,271,ATM,Genuine
1406,406,35,Male,Savings,57993.52,Pending,663,488,Mobile,Genuine
1105,105,60,Female,Current,6366.2,Rejected,670,328,Web,Fraudulent
1097,97,59,Male,Current,82836.48,Verified,361,94,Web,Fraudulent
1065,65,44,Male,Savings,83456.23,Pending,320,448,ATM,Fraudulent
1484,484,29,Female,Current,61524.48,Rejected,433,257,Web,Genuine
1561,561,34,Male,Savings,71205.73,Verified,835,70,ATM,Genuine
1055,55,61,Male,Salary,47845.43,Rejected,473,347,Mobile,Fraudulent
1026,26,52,Female,Savings,42766.28,Pending,773,137,Mobile,Fraudulent
1406,406,35,Male,Savings,57993.52,Pending,663,488,Mobile,Genuine
1536,536,63,Female,Current,84170.9,Verified,639,459,Web,Fraudulent
1085,85,45,Female,Current,70582.64,Pending,613,138,Mobile,Genuine
1106,106,21,Male,Current,55372.74,Pending,748,460,ATM,Fraudulent
1268,268,22,Male,Savings,83048.63,Rejected,507,303,ATM,Genuine
1159,159,22,Male,Salary,63684.03,Verified,393,392,ATM,Genuine
1086,86,64,Male,Current,12835.92,Rejected,489,108,Mobile,Fraudulent
1399,399,64,Female,Current,3918.75,Rejected,736,98,Web,Genuine
1316,316,64,Female,Salary,62050.21,Pending,409,79,Web,Genuine
1234,234,21,Female,Current,60154.36,Rejected,781,156,ATM,Genuine
1253,253,26,Male,Salary,74348.21,Verified,548,35,ATM,Genuine
1290,290,47,Female,Current,26894.6,Rejected,809,248,Mobile,Fraudulent
1453,453,59,Female,Savings,15843,Verified,358,422,ATM,Fraudulent
1129,129,57,Female,Salary,75802.16,Rejected,440,331,Mobile,Genuine
1134,134,23,Female,Savings,27181.4,Verified,765,198,ATM,Fraudulent
1539,539,50,Male,Salary,58311.18,Rejected,517,474,Mobile,Fraudulent
1174,174,27,Female,Savings,47423.19,Rejected,610,417,Web,Genuine
1029,29,42,Female,Current,29239.67,Rejected,798,89,Mobile,Fraudulent
1035,35,18,Female,Salary,99846.99,Verified,375,285,Mobile,Fraudulent
1365,365,53,Female,Salary,3655.62,Rejected,608,115,ATM,Genuine
1333,333,18,Male,Savings,28556.14,Rejected,364,305,Mobile,Genuine
1487,487,48,Female,Salary,67953.26,Pending,452,439,ATM,Genuine
1478,478,64,Male,Current,64789.34,Pending,603,145,Web,Genuine
1553,553,64,Female,Savings,22442.75,Rejected,782,454,Web,Genuine
1278,278,57,Male,Savings,21402.08,Verified,334,238,ATM,Genuine
1561,561,34,Male,Savings,71205.73,Verified,835,70,ATM,Genuine
1455,455,43,Female,Salary,4496.58,Rejected,494,185,ATM,Genuine
1138,138,42,Female,Current,67378.14,Rejected,729,310,ATM,Genuine
1552,552,54,Male,Savings,17467.8,Verified,829,500,Web,Genuine
